,City,Population,Robbery,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
0,Adelanto,"33,005",48,808,434,254,120,24
1,Agoura Hills,"20,970",6,310,82,217,11,0
2,Alameda,"78,613",61,"1,819",228,"1,245",346,18
3,Albany,"19,723",16,605,95,447,63,0
4,Alhambra3,"86,175",74,"1,929",305,"1,413",211,6
5,Aliso Viejo,"50,751",3,363,53,276,34,1
6,Alturas3,"2,566",2,61,9,48,4,4
7,American Canyon3,"20,687",21,634,97,493,44,2
8,Anaheim3,"349,471",439,"10,038","1,476","6,893","1,669",28
9,Anderson,"10,277",9,474,60,358,56,2
10,Antioch,"110,537",280,"3,912",862,"2,026","1,024",36
11,Apple Valley,"72,173",50,"1,878",427,"1,187",264,14
12,Arcadia,"58,694",31,"1,272",316,892,64,3
13,Arcata3,"17,789",11,670,160,443,67,18
14,Arroyo Grande3,"18,071",6,418,83,299,36,0
15,Artesia,"16,988",30,468,99,258,111,3
16,Arvin,"20,902",14,457,143,201,113,16
17,Atascadero3,"29,316",15,475,119,323,33,5
18,Atherton,"7,205",2,86,30,54,2,1
19,Atwater,"29,219",26,"1,099",167,757,175,10
20,Auburn,"14,118",7,260,56,178,26,0
21,Avalon,"3,820",1,56,12,39,5,0
22,Avenal3,"12,859",4,196,58,118,20,0
23,Azusa,"49,431",49,"1,212",232,784,196,7
24,Bakersfield,"373,887",655,"15,559","3,877","9,288","2,394",339
25,Baldwin Park3,"77,538",77,"1,442",243,868,331,5
26,Banning,"31,030",29,608,248,221,139,0
27,Barstow,"23,700",70,"1,037",447,408,182,15
28,Bear Valley3,"5,428",0,67,4,63,0,0
29,Beaumont,"43,626",21,887,157,582,148,4
30,Bell,"36,395",70,772,194,443,135,0
31,Bellflower,"78,635",152,"1,825",452,816,557,13
32,Bell Gardens3,"43,411",51,782,91,392,299,9
33,Belmont,"27,377",5,447,65,341,41,2
34,Belvedere,"2,144",0,29,3,25,1,0
35,Benicia,"28,159",8,512,112,338,62,8
36,Berkeley,"120,387",330,"5,906","1,090","4,099",717,22
37,Beverly Hills3,"35,054",40,"1,236",234,930,72,4
38,Big Bear Lake,"5,209",5,248,75,157,16,6
39,Biggs3,"1,712",1,28,5,14,9,0
40,Bishop3,"3,833",4,105,12,85,8,0
41,Blythe,"18,961",22,847,293,529,25,23
42,Bradbury,"1,097",0,10,6,3,1,0
43,Brawley3,"26,023",14,958,260,654,44,18
44,Brea3,"42,043",31,"1,257",153,"1,035",69,2
45,Brentwood,"58,398",43,"1,288",158,985,145,7
46,Brisbane,"4,696",1,92,36,49,7,0
47,Broadmoor,"4,382",6,80,35,29,16,0
48,Buellton3,"5,097",1,54,15,39,0,0
49,Buena Park3,"83,684",67,"2,549",332,"1,831",386,5
50,Burbank,"105,865",50,"2,656",297,"2,136",223,13
51,Burlingame,"30,672",11,948,192,626,130,2
52,Calabasas,"24,505",9,272,57,201,14,2
53,Calexico3,"40,085",41,"1,567",367,911,289,21
54,California City,"13,218",20,516,270,218,28,1
55,Calimesa,"8,553",5,291,71,186,34,0
56,Calistoga,"5,338",1,81,10,64,7,1
57,Camarillo,"67,325",30,"1,116",217,840,59,17
58,Campbell,"41,544",30,"1,393",247,"1,004",142,14
