,Unnamed: 0,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,address,city
0,0,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY,"Ecological Study Area, Smyth Road, Panoramic Hill, Berkeley, Alameda County, California, 94720, United States","['Alameda', 'Berkeley']"
1,1,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,NEAR BAY,"Grizzly Peak Open Space, Fish Ranch Road, Oakland, Alameda County, California, 94563, United States","['Alameda', 'Oakland']"
2,2,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,NEAR BAY,"Grove Shafter Freeway, Upper Rockridge, Oakland, Alameda County, California, 94618, United States","['Alameda', 'Oakland', 'Shafter']"
3,3,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,NEAR BAY,"6365, Florio Street, Rockridge, Oakland, Alameda County, California, 94168, United States","['Alameda', 'Oakland']"
4,4,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,NEAR BAY,"6365, Florio Street, Rockridge, Oakland, Alameda County, California, 94168, United States","['Alameda', 'Oakland']"
5,5,52.0,919.0,213.0,413.0,193.0,4.0368,269700.0,NEAR BAY,"6365, Florio Street, Rockridge, Oakland, Alameda County, California, 94168, United States","['Alameda', 'Oakland']"
6,6,52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,NEAR BAY,"5401, Bryant Avenue, Rockridge, North Oakland, Oakland, Alameda County, California, 94168, United States","['Alameda', 'Oakland']"
7,7,52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,NEAR BAY,"5401, Bryant Avenue, Rockridge, North Oakland, Oakland, Alameda County, California, 94168, United States","['Alameda', 'Oakland']"
8,8,42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0,NEAR BAY,"5321, Claremont Avenue, Temescal, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Claremont', 'Oakland']"
9,9,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,NEAR BAY,"5401, Bryant Avenue, Rockridge, North Oakland, Oakland, Alameda County, California, 94168, United States","['Alameda', 'Oakland']"
10,10,52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,NEAR BAY,"6398, Telegraph Avenue, Oakland, Alameda County, California, 94705, United States","['Alameda', 'Oakland']"
11,11,52.0,3503.0,752.0,1504.0,734.0,3.2705,241800.0,NEAR BAY,"6398, Telegraph Avenue, Oakland, Alameda County, California, 94705, United States","['Alameda', 'Oakland']"
12,12,52.0,2491.0,474.0,1098.0,468.0,3.075,213500.0,NEAR BAY,"6398, Telegraph Avenue, Oakland, Alameda County, California, 94705, United States","['Alameda', 'Oakland']"
13,13,52.0,696.0,191.0,345.0,174.0,2.6736,191300.0,NEAR BAY,"5321, Claremont Avenue, Temescal, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Claremont', 'Oakland']"
14,14,52.0,2643.0,626.0,1212.0,620.0,1.9167,159200.0,NEAR BAY,"6398, Telegraph Avenue, Oakland, Alameda County, California, 94705, United States","['Alameda', 'Oakland']"
15,15,50.0,1120.0,283.0,697.0,264.0,2.125,140000.0,NEAR BAY,"6398, Telegraph Avenue, Oakland, Alameda County, California, 94705, United States","['Alameda', 'Oakland']"
16,16,52.0,1966.0,347.0,793.0,331.0,2.775,152500.0,NEAR BAY,"1889;1891;1893;1895, Harmon Street, Lorin, Berkeley, Alameda County, California, 94705, United States","['Alameda', 'Berkeley']"
17,17,52.0,1228.0,293.0,648.0,303.0,2.1202,155500.0,NEAR BAY,"1889;1891;1893;1895, Harmon Street, Lorin, Berkeley, Alameda County, California, 94705, United States","['Alameda', 'Berkeley']"
18,18,50.0,2239.0,455.0,990.0,419.0,1.9911,158700.0,NEAR BAY,"5321, Claremont Avenue, Temescal, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Claremont', 'Oakland']"
19,19,52.0,1503.0,298.0,690.0,275.0,2.6033,162900.0,NEAR BAY,"Martin Luther King Junior Way, Idora Park, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland']"
20,20,40.0,751.0,184.0,409.0,166.0,1.3578,147500.0,NEAR BAY,"1889;1891;1893;1895, Harmon Street, Lorin, Berkeley, Alameda County, California, 94705, United States","['Alameda', 'Berkeley']"
21,21,42.0,1639.0,367.0,929.0,366.0,1.7135,159800.0,NEAR BAY,"1889;1891;1893;1895, Harmon Street, Lorin, Berkeley, Alameda County, California, 94705, United States","['Alameda', 'Berkeley']"
22,22,52.0,2436.0,541.0,1015.0,478.0,1.725,113900.0,NEAR BAY,"Martin Luther King Junior Way, Idora Park, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland']"
23,23,52.0,1688.0,337.0,853.0,325.0,2.1806,99700.0,NEAR BAY,"Martin Luther King Junior Way, Idora Park, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland']"
24,24,52.0,2224.0,437.0,1006.0,422.0,2.6,132600.0,NEAR BAY,"Martin Luther King Junior Way, Idora Park, North Oakland, Oakland, Alameda County, California, 94609, United States","['Alameda', 'Oakland']"
